小職種コード,職種カテゴリー,大職種名,小職種名
"21057","施工管理・設計・積算","施工管理","建築施工管理"
"21058","施工管理・設計・積算","施工管理","土木施工管理"
"21060","施工管理・設計・積算","施工管理","管工事施工管理"
"21061","施工管理・設計・積算","施工管理","電気施工管理"
"21062","施工管理・設計・積算","施工管理","プラント施工管理"
"21093","施工管理・設計・積算","施工管理","設備施工管理（空調）"
"21094","施工管理・設計・積算","施工管理","設備施工管理（衛生）"
"21095","施工管理・設計・積算","施工管理","設備施工管理（給排水）"
"21096","施工管理・設計・積算","施工管理","設備施工管理（その他）"
"21063","施工管理・設計・積算","施工図・設計","設計"
"21092","施工管理・設計・積算","施工図・設計","施工図"
"21064","施工管理・設計・積算","積算","積算"
"21065","施工管理・設計・積算","CADオペレーター","CADオペレーター"
"21091","施工管理・設計・積算","CADオペレーター","BIM"
"21067","施工管理・設計・積算","営業・事務","事務"
"21066","施工管理・設計・積算","営業・事務","営業"
"21098","施工管理・設計・積算","工務","工務"
"21099","施工管理・設計・積算","建設コンサルタント（発注者支援業務）","建設コンサルタント（発注者支援業務）"
"21100","施工管理・設計・積算","工事監理者","工事監理者"
