駅コード,都道府県,沿線名,駅名
"1051005","北海道","函館本線","函館"
"1051010","北海道","函館本線","五稜郭"
"1051015","北海道","函館本線","桔梗"
"1051020","北海道","函館本線","大中山"
"1051025","北海道","函館本線","七飯"
"1051030","北海道","函館本線","新函館北斗"
"1051035","北海道","函館本線","仁山"
"1051040","北海道","函館本線","大沼"
"1051045","北海道","函館本線","大沼公園"
"1051050","北海道","函館本線","赤井川"
"1051055","北海道","函館本線","駒ヶ岳"
"1051057","北海道","函館本線","東山"
"1051060","北海道","函館本線","姫川"
"1051065","北海道","函館本線","池田園"
"1051067","北海道","函館本線","流山温泉"
"1051070","北海道","函館本線","銚子口"
"1051075","北海道","函館本線","鹿部"
"1051080","北海道","函館本線","渡島沼尻"
"1051085","北海道","函館本線","渡島砂原"
"1051090","北海道","函館本線","掛澗"
"1051095","北海道","函館本線","尾白内"
"1051100","北海道","函館本線","東森"
"1051105","北海道","函館本線","森"
"1051110","北海道","函館本線","桂川"
"1051115","北海道","函館本線","石谷"
"1051120","北海道","函館本線","本石倉"
"1051125","北海道","函館本線","石倉"
"1051130","北海道","函館本線","落部"
"1051135","北海道","函館本線","野田生"
"1051140","北海道","函館本線","山越"
"1051145","北海道","函館本線","八雲"
"1051150","北海道","函館本線","鷲ノ巣"
"1051155","北海道","函館本線","山崎"
"1051160","北海道","函館本線","黒岩"
"1051165","北海道","函館本線","北豊津"
"1051170","北海道","函館本線","国縫"
"1051175","北海道","函館本線","中ノ沢"
"1051180","北海道","函館本線","長万部"
"1051185","北海道","函館本線","二股"
"1051190","北海道","函館本線","蕨岱"
"1051195","北海道","函館本線","黒松内"
"1051200","北海道","函館本線","熱郛"
"1051205","北海道","函館本線","目名"
"1051210","北海道","函館本線","蘭越"
"1051215","北海道","函館本線","昆布"
"1051220","北海道","函館本線","ニセコ"
"1051225","北海道","函館本線","比羅夫"
"1051230","北海道","函館本線","倶知安"
"1051235","北海道","函館本線","小沢"
"1051240","北海道","函館本線","銀山"
"1051245","北海道","函館本線","然別"
"1051250","北海道","函館本線","仁木"
"1051255","北海道","函館本線","余市"
"1051260","北海道","函館本線","蘭島"
"1051265","北海道","函館本線","塩谷"
"1051270","北海道","函館本線","小樽"
"1051275","北海道","函館本線","南小樽"
"1051280","北海道","函館本線","小樽築港"
"1051285","北海道","函館本線","朝里"
"1051295","北海道","函館本線","銭函"
"1051298","北海道","函館本線","ほしみ"
"1051300","北海道","函館本線","星置"
"1051302","北海道","函館本線","稲穂"
"1051305","北海道","函館本線","手稲"
"1051306","北海道","函館本線","稲積公園"
"1051308","北海道","函館本線","発寒"
"1051309","北海道","函館本線","発寒中央"
"1051310","北海道","函館本線","琴似"
"1051315","北海道","函館本線","桑園"
"1051320","北海道","函館本線","札幌"
"1051325","北海道","函館本線","苗穂"
"1051330","北海道","函館本線","白石"
"1051335","北海道","函館本線","厚別"
"1051340","北海道","函館本線","森林公園"
"1051345","北海道","函館本線","大麻"
"1051350","北海道","函館本線","野幌"
"1051352","北海道","函館本線","高砂"
"1051355","北海道","函館本線","江別"
"1051360","北海道","函館本線","豊幌"
"1051365","北海道","函館本線","幌向"
"1051370","北海道","函館本線","上幌向"
"1051375","北海道","函館本線","岩見沢"
"1051380","北海道","函館本線","峰延"
"1051385","北海道","函館本線","光珠内"
"1051390","北海道","函館本線","美唄"
"1051395","北海道","函館本線","茶志内"
"1051400","北海道","函館本線","奈井江"
"1051405","北海道","函館本線","豊沼"
"1051430","北海道","函館本線","砂川"
"1051435","北海道","函館本線","滝川"
"1051440","北海道","函館本線","江部乙"
"1051445","北海道","函館本線","妹背牛"
"1051450","北海道","函館本線","深川"
"1051455","北海道","函館本線","納内"
"1051460","北海道","函館本線","伊納"
"1051465","北海道","函館本線","近文"
"1051470","北海道","函館本線","旭川"
"10000176","北海道","江差線","函館"
"10000177","北海道","江差線","五稜郭"
"10000178","北海道","江差線","七重浜"
"10000179","北海道","江差線","東久根別"
"10000180","北海道","江差線","久根別"
"10000181","北海道","江差線","清川口"
"10000182","北海道","江差線","上磯"
"10000183","北海道","江差線","矢不来信号場"
"10000184","北海道","江差線","茂辺地"
"10000185","北海道","江差線","渡島当別"
"10000186","北海道","江差線","釜谷"
"10000187","北海道","江差線","泉沢"
"10000188","北海道","江差線","札苅"
"10000189","北海道","江差線","木古内"
"10000190","北海道","江差線","渡島鶴岡"
"10000191","北海道","江差線","吉堀"
"10000192","北海道","江差線","神明"
"10000193","北海道","江差線","湯ノ岱"
"10000194","北海道","江差線","宮越"
"10000195","北海道","江差線","桂岡"
"10000196","北海道","江差線","中須田"
"10000197","北海道","江差線","上ノ国"
"10000198","北海道","江差線","江差駅"
"1055005","北海道","札沼線","札幌"
"1055010","北海道","札沼線","桑園"
"1055013","北海道","札沼線","八軒"
"1055015","北海道","札沼線","新川"
"1055020","北海道","札沼線","新琴似"
"1055023","北海道","札沼線","太平"
"1055026","北海道","札沼線","百合が原"
"1055030","北海道","札沼線","篠路"
"1055040","北海道","札沼線","拓北"
"1055045","北海道","札沼線","あいの里教育大"
"1055050","北海道","札沼線","あいの里公園"
"1055060","北海道","札沼線","石狩太美"
"1055070","北海道","札沼線","石狩当別"
"1055080","北海道","札沼線","北海道医療大学"
"1055090","北海道","札沼線","石狩金沢"
"1055100","北海道","札沼線","本中小屋"
"1055110","北海道","札沼線","中小屋"
"1055120","北海道","札沼線","月ヶ岡"
"1055130","北海道","札沼線","知来乙"
"1055140","北海道","札沼線","石狩月形"
"1055150","北海道","札沼線","豊ヶ岡"
"1055160","北海道","札沼線","札比内"
"1055170","北海道","札沼線","晩生内"
"1055180","北海道","札沼線","札的"
"1055190","北海道","札沼線","浦臼"
"1055200","北海道","札沼線","鶴沼"
"1055205","北海道","札沼線","於札内"
"1055210","北海道","札沼線","南下徳富"
"1055220","北海道","札沼線","下徳富"
"1055240","北海道","札沼線","新十津川"
"1056010","北海道","千歳線","札幌"
"1056020","北海道","千歳線","苗穂"
"1056030","北海道","千歳線","白石"
"1056035","北海道","千歳線","平和"
"1056040","北海道","千歳線","新札幌"
"1056050","北海道","千歳線","上野幌"
"1056060","北海道","千歳線","北広島"
"1056070","北海道","千歳線","島松"
"1056080","北海道","千歳線","恵み野"
"1056090","北海道","千歳線","恵庭"
"1056095","北海道","千歳線","サッポロビール庭園"
"1056100","北海道","千歳線","長都"
